Year,Total tourism gross value added,Total tourism gross value added ($b),Total gross value share (%)
2004-05,29522,29.52,3.2
2005-06,31436,31.44,3.1
2006-07,33785,33.79,3.1
2007-08,35931,35.93,3.0
2008-09,36616,36.62,2.8
2009-10,36805,36.81,2.8
2010-11,38188,38.19,2.6
2011-12,40853,40.85,2.7
2012-13,43547,43.55,2.8
2013-14,45608,45.61,2.8
2014-15,47932,47.93,2.9
2015-16,51128,51.13,3.0
2016-17,53870,53.87,3.0
2017-18,57186,57.19,3.0
2018-19,60271,60.27,3.0
2019-20,48046,48.05,2.4
2020-21,28278,28.28,1.3
2021-22,35644,35.64,1.5
2022-23,62950,62.95,2.4
