Year,State,Number of Arrivals,Percentage Increase in Arrivals
1992,Australian Capital Territory,20150,-28.59
1992,New South Wales,1132270,12.72
1992,Northern Territory,21040,-5.13
1992,Queensland,704760,12.57
1992,South Australia,56850,-3.89
1992,Tasmania,15530,13.07
1992,Victoria,361860,-1.3
1992,Western Australia,211990,8.81
1993,Australian Capital Territory,23650,14.8
1993,New South Wales,1311610,13.67
1993,Northern Territory,27630,23.85
1993,Queensland,857060,17.77
1993,South Australia,67070,15.24
1993,Tasmania,18930,17.96
1993,Victoria,398030,9.09
1993,Western Australia,263610,19.58
1994,Australian Capital Territory,25010,5.44
1994,New South Wales,1468050,10.66
1994,Northern Territory,42250,34.6
1994,Queensland,970640,11.7
1994,South Australia,69910,4.06
1994,Tasmania,17990,-5.23
1994,Victoria,438730,9.28
1994,Western Australia,329160,19.91
1995,Australian Capital Territory,28450,12.09
1995,New South Wales,1612420,8.95
1995,Northern Territory,45170,6.46
1995,Queensland,1110450,12.59
1995,South Australia,74280,5.88
1995,Tasmania,21880,17.78
1995,Victoria,480210,8.64
1995,Western Australia,344550,4.47
1996,Australian Capital Territory,30130,5.58
1996,New South Wales,1775640,9.19
1996,Northern Territory,46580,3.03
1996,Queensland,1279720,13.23
1996,South Australia,83410,10.95
1996,Tasmania,18500,-18.27
1996,Victoria,543090,11.58
1996,Western Australia,382870,10.01
1997,Australian Capital Territory,31300,3.74
1997,New South Wales,1769940,-0.32
1997,Northern Territory,52680,11.58
1997,Queensland,1331400,3.88
1997,South Australia,91660,9.0
1997,Tasmania,24180,23.49
1997,Victoria,606860,10.51
1997,Western Australia,405440,5.57
1998,Australian Capital Territory,29300,-6.83
1998,New South Wales,1710520,-3.47
1998,Northern Territory,49280,-6.9
1998,Queensland,1233140,-7.97
1998,South Australia,88130,-4.01
1998,Tasmania,23420,-3.25
1998,Victoria,627920,3.35
1998,Western Australia,397360,-2.03
1999,Australian Capital Territory,32360,9.46
1999,New South Wales,1829130,6.48
1999,Northern Territory,58830,16.23
1999,Queensland,1309860,5.86
1999,South Australia,109590,19.58
1999,Tasmania,21550,-8.68
1999,Victoria,657390,4.48
1999,Western Australia,434430,8.53
2000,Australian Capital Territory,43470,25.56
2000,New South Wales,2142990,14.65
2000,Northern Territory,62390,5.71
2000,Queensland,1333730,1.79
2000,South Australia,118210,7.29
2000,Tasmania,30670,29.74
2000,Victoria,744990,11.76
2000,Western Australia,453110,4.12
2001,Australian Capital Territory,44580,2.49
2001,New South Wales,1979230,-8.27
2001,Northern Territory,70310,11.26
2001,Queensland,1370510,2.68
2001,South Australia,112170,-5.38
2001,Tasmania,31720,3.31
2001,Victoria,789850,5.68
2001,Western Australia,455250,0.47
2002,Australian Capital Territory,46310,3.74
2002,New South Wales,1941420,-1.95
2002,Northern Territory,63830,-10.15
2002,Queensland,1354350,-1.19
2002,South Australia,111790,-0.34
2002,Tasmania,33540,5.43
2002,Victoria,818950,3.55
2002,Western Australia,470520,3.25
2003,Australian Capital Territory,46920,1.3
2003,New South Wales,1886370,-2.92
2003,Northern Territory,50220,-27.1
2003,Queensland,1339580,-1.1
2003,South Australia,111990,0.18
2003,Tasmania,34820,3.68
2003,Victoria,803980,-1.86
2003,Western Australia,471250,0.15
2004,Australian Capital Territory,51310,8.56
2004,New South Wales,2003410,5.84
2004,Northern Territory,56380,10.93
2004,Queensland,1546970,13.41
2004,South Australia,125080,10.47
2004,Tasmania,35530,2.0
2004,Victoria,902790,10.94
2004,Western Australia,477980,1.41
2005,Australian Capital Territory,46160,-11.16
