Year,Special Category Visa (subclass 444)(f),Permanent Family Visas,Permanent Skilled Visas,Temporary Student Visas,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas
Jul-04,120910,11650,19860,58680,11920,292130,6200
Aug-04,110520,10760,16390,12610,9490,270550,7420
Sep-04,119780,10160,16330,9580,8790,249270,12760
Oct-04,116540,11260,16930,15280,10550,304160,12720
Nov-04,97650,9900,15910,8330,8550,355340,11940
Dec-04,109200,10070,15220,9870,7890,436200,10410
Jan-05,112030,16810,30460,44530,16130,324870,10680
Feb-05,83620,11460,19990,75020,7940,354230,11050
Mar-05,110050,11760,18560,19820,9280,360510,11230
Apr-05,115790,10680,19610,15280,10690,267210,9820
May-05,97200,9380,16040,8560,9280,237380,7920
Jun-05,105100,10330,16700,11180,9990,248270,8510
Jul-05,127170,12740,22850,60400,13330,310610,7930
Aug-05,114310,12160,18350,14170,11260,288330,8200
Sep-05,122400,12510,18560,12490,11000,259950,13770
Oct-05,121380,12140,19430,14990,11850,312130,13690
Nov-05,94560,10530,16470,9870,10210,347540,12810
Dec-05,110380,10960,17520,10930,8990,437970,10380
Jan-06,114390,17550,33680,40540,19830,325300,11610
Feb-06,81630,13440,22910,86660,10790,332890,12670
Mar-06,99980,10490,18310,20270,11440,336760,12020
Apr-06,115080,11180,20500,15830,12220,291130,9940
May-06,96070,11210,18310,9890,10550,227290,8840
Jun-06,105850,10420,18480,13790,11810,245960,9420
Jul-06,118490,13790,24490,63630,15620,297570,8150
Aug-06,104490,12880,19130,16540,13200,276740,9400
Sep-06,126190,12490,19250,14300,13600,264550,15410
Oct-06,116180,12230,22240,18450,13890,324790,15800
Nov-06,103150,11790,18120,13260,12120,356120,14700
Dec-06,112270,11190,17210,12390,12240,473990,11400
Jan-07,120550,18820,36100,50160,23790,304260,13230
Feb-07,85400,12110,23210,82650,11860,358450,12540
Mar-07,104970,13990,22510,29150,13630,373920,14580
Apr-07,119740,12830,22960,20950,15180,285540,10990
May-07,112210,11870,19250,12030,13070,229110,10580
Jun-07,121580,12030,21350,16600,14720,244690,10850
Jul-07,123390,12490,25230,71010,18240,294980,9050
Aug-07,117380,13390,22230,21720,16220,283740,11650
Sep-07,129520,13230,21140,17010,16220,267230,16890
Oct-07,126750,13310,21980,20950,16290,309950,15420
Nov-07,113070,12250,20360,15510,13950,353070,16230
Dec-07,114330,11800,18940,16210,13770,446470,12330
Jan-08,119430,19340,39780,55900,28660,293050,13790
