State or territory of stay,Year,Number of Short-term Visitors Arrivals
NSW,Jul-19,"268,050"
Vic.,Jul-19,201930
Qld,Jul-19,"206,910"
SA,Jul-19,"21,950"
WA,Jul-19,"65,260"
Tas.,Jul-19,"5,670"
NT,Jul-19,"9,460"
ACT,Jul-19,"11,130"
NSW,Jul-22,"107,570"
Vic.,Jul-22,"81,840"
Qld,Jul-22,"81,880"
SA,Jul-22,"10,840"
WA,Jul-22,"32,050"
Tas.,Jul-22,"2,660"
NT,Jul-22,"3,210"
ACT,Jul-22,"5,600"
NSW,Jul-23,"233,530"
Vic.,Jul-23,"153,260"
Qld,Jul-23,"152,860"
SA,Jul-23,"18,490"
WA,Jul-23,"46,450"
Tas.,Jul-23,"4,150"
NT,Jul-23,"5,520"
ACT,Jul-23,"10,780"
NSW,Jul-24,"234,450"
Vic.,Jul-24,"161,390"
Qld,Jul-24,"171,360"
SA,Jul-24,"15,820"
WA,Jul-24,"56,420"
Tas.,Jul-24,"3,900"
NT,Jul-24,"6,740"
ACT,Jul-24,"8,810"
