State,Year,Number of Short-term Visitors Arrivals,Total of year,Percentage Over Total %
New South Wales,2019-07-01,268050,790360,33.91
Victoria,2019-07-01,201930,790360,25.55
Queensland,2019-07-01,206910,790360,26.18
South Australia,2019-07-01,21950,790360,2.78
Western Australia,2019-07-01,65260,790360,8.26
Tasmania,2019-07-01,5670,790360,0.72
Northern Territory,2019-07-01,9460,790360,1.2
Australian Capital Territory,2019-07-01,11130,790360,1.41
New South Wales,2022-07-01,107570,325650,33.03
Victoria,2022-07-01,81840,325650,25.13
Queensland,2022-07-01,81880,325650,25.14
South Australia,2022-07-01,10840,325650,3.33
Western Australia,2022-07-01,32050,325650,9.84
Tasmania,2022-07-01,2660,325650,0.82
Northern Territory,2022-07-01,3210,325650,0.99
Australian Capital Territory,2022-07-01,5600,325650,1.72
New South Wales,2023-07-01,233530,625040,37.36
Victoria,2023-07-01,153260,625040,24.52
Queensland,2023-07-01,152860,625040,24.46
South Australia,2023-07-01,18490,625040,2.96
Western Australia,2023-07-01,46450,625040,7.43
Tasmania,2023-07-01,4150,625040,0.66
Northern Territory,2023-07-01,5520,625040,0.88
Australian Capital Territory,2023-07-01,10780,625040,1.72
New South Wales,2024-07-01,234450,658890,35.58
Victoria,2024-07-01,161390,658890,24.49
Queensland,2024-07-01,171360,658890,26.01
South Australia,2024-07-01,15820,658890,2.4
Western Australia,2024-07-01,56420,658890,8.56
Tasmania,2024-07-01,3900,658890,0.59
Northern Territory,2024-07-01,6740,658890,1.02
Australian Capital Territory,2024-07-01,8810,658890,1.34
